feature,importance
avalon_raw_risk_score,0.14576858
physical_risk_index,0.06582935
avalon_bias,0.03594955
thermal_stress,0.033519328
days_since_maintenance,0.027677007
radiation_inside_uSv,0.024399364
maintenance_risk,0.023862468
radiation_ratio,0.022526668
radiation_log,0.022291455
thermal_margin,0.020907182
radiation_differential,0.020788377
population_risk,0.019536966
core_temp_c,0.019252308
maintenance_age_interaction,0.016778795
maintenance_score,0.016680488
coolant_pressure_bar,0.015962042
social_pressure_index,0.015702939
reactor_type_code,0.01564623
pressure_flow_interaction,0.015644224
coolant_efficiency,0.015272224
core_temp_squared,0.015228426
ambient_temp_c,0.014494747
weather_severity_index,0.01402181
staff_risk,0.013986833
avalon_confidence,0.013965039
radiation_outside_uSv,0.01372051
age_power_risk,0.013080034
co2_avoided_tons_per_hour,0.013017644
social_media_rumour_index,0.012858082
operational_risk_index,0.012609768
load_factor_pct,0.012607631
coolant_flow_rate,0.012565856
staff_fatigue_index,0.012483111
power_efficiency,0.012068989
neutron_flux,0.01202616
seismic_activity_index,0.011638184
pressure_squared,0.011528719
sensor_anomaly_flag,0.011458318
control_effectiveness,0.011427487
public_anxiety_index,0.011178093
control_rod_position_pct,0.010993625
temp_age_interaction,0.010979357
avalon_learned_reward_score,0.010890803
grid_demand_index,0.010746795
cyber_attack_score,0.010559001
reactor_nominal_power_mw,0.010465096
env_risk_index,0.010413904
reactor_age_years,0.01027969
backup_generator_health,0.010166659
year,0.009521739
external_threat,0.0093552815
country_encoded,0.009217574
regulator_scrutiny_score,0.009116913
population_within_30km,0.008993678
market_price_eur_mwh,0.008338873
